Date,NVDA,QQQ,SPY,TQQQ,TSLA
2010-01-04,0.4238303303718567,40.393558502197266,85.27920532226562,,
2010-01-05,0.430019348859787,40.393558502197266,85.50495910644531,,
2010-01-06,0.43276989459991455,40.14992141723633,85.56513977050781,,
2010-01-07,0.4242887496948242,40.1760139465332,85.92636108398438,,
2010-01-08,0.42520564794540405,40.50669860839844,86.21228790283203,,
2010-01-11,0.4192458987236023,40.34134292602539,86.33269500732422,,
2010-01-12,0.40503421425819397,39.836647033691406,85.52753448486328,,
2010-01-13,0.41053539514541626,40.33266067504883,86.24991607666016,,
2010-01-14,0.4041173458099365,40.367454528808594,86.48316955566406,,
2010-01-15,0.39219775795936584,39.89756774902344,85.51245880126953,,
2010-01-19,0.3995327353477478,40.541507720947266,86.58098602294922,,
2010-01-20,0.39792823791503906,39.9584846496582,85.70059967041016,,
2010-01-21,0.3908223807811737,39.58430862426758,84.05266571044922,,
2010-01-22,0.3772983253002167,38.42695236206055,82.17896270751953,,
2010-01-25,0.3837165832519531,38.557498931884766,82.60034942626953,,
2010-01-26,0.37156781554222107,38.592288970947266,82.25421905517578,,
2010-01-27,0.3816535472869873,38.896854400634766,82.64550018310547,,
2010-01-28,0.36881721019744873,37.896156311035156,81.69739532470703,,
2010-01-29,0.3527716100215912,37.23483657836914,80.8094253540039,,
2010-02-01,0.37981972098350525,37.64382553100586,82.06609344482422,,
2010-02-02,0.3837165832519531,37.983177185058594,83.05935668945312,,
2010-02-03,0.38692566752433777,38.1920166015625,82.64550018310547,,
2010-02-04,0.3644620478153229,37.08688735961914,80.09455871582031,,
2010-02-05,0.3717970848083496,37.40016174316406,80.26014709472656,,
2010-02-08,0.37110939621925354,37.13041305541992,79.68070220947266,,
2010-02-09,0.36812952160835266,37.51329040527344,80.6815185546875,,
2010-02-10,0.37523525953292847,37.434959411621094,80.52350616455078,,
2010-02-11,0.3924269676208496,38.000579833984375,81.36630249023438,0.4134383499622345,
2010-02-12,0.39769914746284485,38.07891082763672,81.2985610961914,0.4151310622692108,
2010-02-16,0.40503421425819397,38.56620407104492,82.5777816772461,0.4312107264995575,
2010-02-17,0.4089308977127075,38.783756256103516,82.96908569335938,0.4385283589363098,
2010-02-18,0.3821121156215668,39.02739715576172,83.45819091796875,0.4468419849872589,
2010-02-19,0.38004907965660095,39.00998306274414,83.63125610351562,0.4468419849872589,
2010-02-22,0.38073664903640747,38.93168258666992,83.64630126953125,0.44370603561401367,
2010-02-23,0.37156781554222107,38.42695236206055,82.63043212890625,0.42638200521469116,
2010-02-24,0.3793613016605377,38.81855773925781,83.39045715332031,0.4392748475074768,
2010-02-25,0.3759229779243469,38.80986404418945,83.27760314941406,0.4390263259410858,
2010-02-26,0.37133869528770447,38.949073791503906,83.33028411865234,0.44450220465660095,
2010-03-01,0.3862379193305969,39.514678955078125,84.19562530517578,0.463568776845932,
2010-03-02,0.38600873947143555,39.63651657104492,84.42887878417969,0.4663568437099457,
2010-03-03,0.38119521737098694,39.680030822753906,84.5041275024414,0.46894514560699463,
2010-03-04,0.38188284635543823,39.81055450439453,84.7599868774414,0.4741228222846985,
2010-03-05,0.3935730755329132,40.41096496582031,85.97151947021484,0.4950810968875885,
2010-03-08,0.3878426253795624,40.489280700683594,85.98653411865234,0.497718870639801,
2010-03-09,0.40228331089019775,40.71554946899414,86.1294937133789,0.5065305829048157,
2010-03-10,0.40320032835006714,41.04619216918945,86.51329040527344,0.5189263820648193,
2010-03-11,0.3940315842628479,41.20282745361328,86.8744888305664,0.5237054824829102,
2010-03-12,0.3954068124294281,41.21153259277344,86.88201904296875,0.5249003171920776,
2010-03-15,0.39334386587142944,41.10712432861328,86.90458679199219,0.521365761756897,
2010-03-16,0.40709713101387024,41.36815643310547,87.59684753417969,0.5312220454216003,
2010-03-17,0.4148905873298645,41.48128890991211,88.1160888671875,0.5349056720733643,
2010-03-18,0.40022042393684387,41.620521545410156,88.07093048095703,0.5403327941894531,
2010-03-19,0.3954068124294281,41.36875534057617,87.6251220703125,0.5307745933532715,
2010-03-22,0.4018251597881317,41.74335479736328,88.0936050415039,0.545111894607544,
2010-03-23,0.4100770056247711,42.030818939208984,88.71320343017578,0.5565117597579956,
2010-03-24,0.39632368087768555,41.83046340942383,88.28247833251953,0.5485957860946655,
2010-03-25,0.39746975898742676,41.76948928833008,88.13894653320312,0.5451616048812866,
2010-03-26,0.39746975898742676,41.81302261352539,88.08605194091797,0.5479985475540161,
2010-03-29,0.4025127589702606,42.013397216796875,88.64517974853516,0.5555157661437988,
2010-03-30,0.4041173458099365,42.15276336669922,88.70562744140625,0.5613407492637634,
2010-03-31,0.39884522557258606,41.95240020751953,88.40340423583984,0.5537735223770142,
2010-04-01,0.3947191834449768,41.95240020751953,89.00786590576172,0.5526779294013977,
2010-04-05,0.4006790220737457,42.344398498535156,89.73318481445312,0.5686582326889038,
2010-04-06,0.3908223807811737,42.46636199951172,89.94476318359375,0.5729890465736389,
2010-04-07,0.39334386587142944,42.36182403564453,89.43096160888672,0.5697537660598755,
2010-04-08,0.38692566752433777,42.45764923095703,89.74075317382812,0.571794331073761,
2010-04-09,0.3894471526145935,42.71026611328125,90.33013153076172,0.5820989608764648,
2010-04-12,0.39655303955078125,42.74510955810547,90.47369384765625,0.5844387412071228,
2010-04-13,0.4048050343990326,42.96289825439453,90.54165649414062,0.5932503938674927,
2010-04-14,0.40984782576560974,43.47683334350586,91.56930541992188,0.6141587495803833,
2010-04-15,0.41282767057418823,43.668495178222656,91.64484405517578,0.6223730444908142,
